,gene_name
552,Parvb
553,Ttll1
554,Pmm1
555,Pde1b
556,Litaf
557,Emp2
558,Il1rap
559,Srl
560,Adck5
561,Dgat1
562,Fbxl6
563,Oplah
564,Tsta3
565,Pycrl
566,Naprt1
567,Gsdmd
568,Ly6h
569,Mapk12
570,Lmf2
571,Tymp
572,Rabl2
573,Tagln3
574,Mcm4
575,Snai2
576,Nde1
577,Cmss1
578,Nit2
579,4930451C15Rik
580,Aifm3
581,Ccdc116
582,Mfi2
583,Spag6
584,Wdr53
585,B4galt4
586,Fstl1
587,Muc13
588,Ccdc14
589,Thpo
590,Tmem41a
591,D16Ertd472e
592,Rfc4
593,Slc15a2
594,Chaf1b
595,Cbr3
596,Rcan1
597,Donson
598,Mis18a
599,Fmnl3
600,Racgap1
601,Gpd1
602,Cela1
603,Nr4a1
604,Cdkn1a
605,Rgn
606,Cep89
607,Mospd1
608,Msrb2
609,Sult1c2
610,Nagpa
611,Slc38a1
612,Leprel2
613,Serping1
614,Serinc2
615,Ccl25
616,Parp3
617,Slc26a6
618,Acy1
619,Frs3
620,Dtwd1
621,Mx2
622,Poc1a
623,Trip6
624,Slc17a9
625,Cela3b
626,Pcbp4
627,Cdca3
628,Fam132a
629,Rhebl1
630,Pigx
631,Agpat4
632,1700010I14Rik
633,Zfp54
634,Zfp51
635,Tnfrsf12a
636,Pkmyt1
637,Paqr4
638,Flywch2
639,Cenpq
640,Sgol1
641,Cyp39a1
642,Taf8
643,Guca1a
644,Tfeb
645,Nfya
646,Tff2
647,Rsph1
648,Cbs
649,Cyp4f13
650,Ndc80
651,Clip4
652,Qpct
653,Cacna1h
654,Prss41
655,1600002H07Rik
656,Slc3a1
657,Pigf
658,Msh2
659,Nme4
660,Plin3
661,Mllt1
662,Clps
663,Bambi
664,Map3k8
665,Thumpd2
666,2700062C07Rik
667,Zscan30
668,Adamts10
669,Col11a2
670,Gfra3
671,Proc
672,Atp6v1g2
673,Aqp4
674,Ttc39c
675,Atat1
676,Mal2
677,Hbegf
678,Ppp2r2b
679,Spink3
680,Dtwd2
681,Hsd17b4
682,Srfbp1
683,Slmo1
684,Snx24
685,Ppic
686,Pcyox1l
687,Lmnb1
688,Psat1
689,Tle4
690,Cndp2
691,Timm21
692,Incenp
693,Fads2
694,Tmem138
695,Tmem216
696,Mrpl16
697,Fam111a
698,Gna14
699,Lipa
700,Cdca5
701,Kif20b
702,Tm7sf2
703,Rpp30
704,Pcgf5
705,Rad9a
706,Gldc
707,Pola2
708,Mbl2
709,Cnih2
710,Cbwd1
711,Aldh3b1
712,Gal
713,Efemp2
714,Fosl1
715,Rnaseh2c
716,Esrra
717,Fermt3
718,Acsl5
719,Zdhhc6
720,Hhex
721,Cep55
722,Pde6c
723,Hells
724,Sorbs1
725,Slit1
726,Efhc2
727,Taf5
728,Pcgf6
729,Gyk
730,Gsto1
731,Gsto2
732,Casp7
733,Ppp1r27
734,Pycr1
735,Lrrc45
736,Arhgap19
737,Ogfod3
738,Rab40b
739,Ubtd1
740,Got1
741,Cutc
742,Scd3
743,Kazald1
744,Kcnip2
745,Adpgk
746,Alas2
747,Pfkfb1
748,Tro
749,Acot9
750,Cdk2
751,Prim1
752,Nab2
753,Shmt2
754,Ttc4
755,Katnal2
756,St8sia5
757,Xrcc6bp1
758,Caly
759,Zfp511
760,Ifitm1
761,Sigirr
762,Irf7
763,Pidd1
764,Cd151
765,Tspan4
766,Asl
767,Clybl
768,Tk1
769,Rbfox3
770,Dach2
771,Zfp202
772,Rps6ka6
773,Nmb
774,Rab40c
775,Fam195a
776,Tyms
777,Plk4
778,Mfsd8
779,Ly96
780,Slc25a10
781,Nop16
782,Tspan17
783,Myo5b
784,Snca
785,Mybl1
786,Ppp1r42
787,Paqr8
788,Tmem14a
789,Slc40a1
790,Casp8
791,Ppil3
792,Sgol2
793,Col5a2
794,Tex30
795,Il1r2
796,Mitd1
797,Stk17b
798,Tmeff2
799,Prim2
800,Col19a1
801,Nhej1
802,Rnf25
803,Bcs1l
804,Ppm1f
805,Tmem169
806,Fn1
807,Glb1l
808,Serpine2
809,Pask
810,Bok
811,Rab17
812,Serpinb8
813,Acmsd
814,Mcm6
815,Rgs2
816,3110009E18Rik
817,Cd55
818,Ddx59
819,Pigr
820,Csrp1
821,Arl8a
822,Ube2t
823,Rab29
824,Lrrn2
825,Mr1
826,Opn3
827,Rgs7
828,Tada1
829,Pou2f1
830,Nme7
831,Ccdc181
832,Cenpf
833,Nek2
834,Atf3
835,Tatdn3
836,Acbd7
837,1700009P17Rik
838,Meig1
839,Fam107b
840,Mcm10
841,Enkur
842,Nuf2
843,Fmo4
844,Cenpl
845,Trdmt1
846,Pfkfb3
847,Mastl
848,Pdss1
849,Slc2a8
850,Ak8
851,1700026L06Rik
852,Ptges2
853,Nr4a2
854,1700007K13Rik
855,Cytip
856,Olfm1
857,Upp2
858,Kynu
859,Cutal
860,Phf19
861,Ttll11
862,Lhx6
863,Slc4a10
864,Wdr5
865,Egfl7
866,Agpat2
867,Fcna
868,Tmem141
869,Nmi
870,Sapcd2
871,Arl6ip6
872,Fam166a
873,Itgb6
874,Hat1
875,P2rx3
876,Slc43a1
877,Timm10
878,Ube2l6
879,Tfpi
880,Kif18a
881,Depdc7
882,Cat
883,Gatm
884,Slc12a1
885,Mdk
886,F2
887,Lrp4
888,Itpka
889,Ndufaf1
890,Nusap1
891,Chac1
892,Dll4
893,Gfra4
894,Rad51
895,Casc5
896,1700037H04Rik
897,Spef1
898,Cdc25b
899,Knstrn
900,Smox
901,Rasgrp1
902,Mcm8
903,Fermt1
904,Hdc
905,Fahd2a
906,Bub1
907,Ndufaf5
908,Zc3h8
909,Slc20a1
910,Pdyn
911,Mgme1
912,Rbbp9
913,Dtd1
914,Gins1
915,Sdcbp2
916,Tpx2
917,Cdk5rap1
918,Snta1
919,Necab3
920,Aurka
921,Rbm38
922,Stx16
923,Gnas
924,E2f5
925,Dok5
926,Chrna4
927,Stmn3
928,Zbtb46
929,Gss
930,Dsn1
931,Fam83d
932,Slc2a10
933,Zfp639
934,Ccdc39
935,Mecom
936,Ect2
937,1810062G17Rik
938,Ccna2
939,Trpc4
940,Schip1
941,Pfn2
942,4930579G24Rik
943,Kcnab1
944,Shox2
945,Vangl1
946,Gpsm2
947,1700013F07Rik
948,Gstm4
949,Chil6
950,Slc27a3
951,Rab13
952,Efna1
953,Tmem144
954,Trim2
955,Ccdc109b
956,Casp6
957,Pla2g12a
958,Gucy1b3
959,Gstcd
960,Glrb
961,Dnajb4
962,Pmf1
963,Iqgap3
964,Ntrk1
965,Fmo5
966,Acp6
967,F3
968,Ptbp2
969,Riiad1
970,Oaz3
971,Them4
972,Rorc
973,Mttp
974,Dapp1
975,Manba
976,Depdc1a
977,Spata1
978,Ctbs
979,Bcl10
980,Cryz
981,Ccne2
982,Cdh17
983,Calb1
984,Mmp16
985,Spaca1
986,Lmo4
987,Akirin2
988,3110043O21Rik
989,Smc2
990,Xpa
991,Tmeff1
992,Bspry
993,Alad
994,Pole3
995,Aqp3
996,1110017D15Rik
997,Nudt2
998,Cntfr
999,Fancg
1000,Ccdc107
1001,Gba2
1002,Npr2
1003,Reck
1004,Plin2
1005,Dab1
1006,2610528J11Rik
1007,Dph2
1008,Slc5a9
1009,Bend5
1010,Cdkn2c
1011,Usp1
1012,Fggy
1013,Lrrc38
1014,Orc1
1015,Gpx7
1016,Podn
1017,Ndc1
1018,Lrrc42
1019,Col9a2
1020,Exo5
1021,Ctps
1022,Edn2
1023,Ppcs
1024,Lepre1
1025,Ccdc23
1026,Slc2a1
1027,Mycbp
1028,Mycl
1029,Mfsd2a
1030,Kif2c
1031,Plk3
1032,Ptch2
1033,Mutyh
1034,Ccdc163
1035,Nasp
1036,Ipp
1037,Rad54l
1038,Cyp4b1
1039,Stil
1040,Mrto4
1041,Kif17
1042,Tinagl1
1043,Hpca
1044,Ccdc28b
1045,Rhd
1046,Cnksr1
1047,Tekt2
1048,Cdca8
1049,Rpa2
1050,Rcc1
1051,Mecr
1052,Arhgef19
1053,Xrcc2
1054,Tnfrsf9
1055,Cort
1056,Mad2l2
1057,Orc5
1058,Miip
1059,Dffb
1060,Plch2
1061,Pank4
1062,Mxra8
1063,Gltpd1
1064,Prom1
1065,Kcnip4
1066,Pacrgl
1067,Gpr125
1068,Sorcs2
1069,Ablim2
1070,Rgs12
1071,Hgfac
1072,Ppp2r2c
1073,Crmp1
1074,Stk32b
1075,Nsg1
1076,Rnf32
1077,Rbks
1078,Krtcap3
1079,Cgref1
1080,Cenpa
1081,Klf3
1082,Pi4k2b
1083,Klb
